Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
0,3,male,youth,has,no,S
1,1,female,youth,has,no,C
1,3,female,youth,no,no,S
1,1,female,youth,has,no,S
0,3,male,youth,no,no,S
0,3,male,,no,no,Q
0,1,male,middle-ager,no,no,S
0,3,male,kid,has,has,S
1,3,female,youth,no,has,S
1,2,female,teenager,has,no,C
1,3,female,kid,has,has,S
1,1,female,middle-ager,no,no,S
0,3,male,teenager,no,no,S
0,3,male,youth,has,has,S
0,3,female,teenager,no,no,S
1,2,female,middle-ager,no,no,S
0,3,male,kid,has,has,Q
1,2,male,,no,no,S
0,3,female,youth,has,no,S
1,3,female,,no,no,C
0,2,male,youth,no,no,S
1,2,male,youth,no,no,S
1,3,female,teenager,no,no,Q
1,1,male,youth,no,no,S
0,3,female,kid,has,has,S
1,3,female,youth,has,has,S
0,3,male,,no,no,C
0,1,male,teenager,has,has,S
1,3,female,,no,no,Q
0,3,male,,no,no,S
0,1,male,youth,no,no,C
1,1,female,,has,no,C
1,3,female,,no,no,Q
0,2,male,elder,no,no,S
0,1,male,youth,has,no,C
0,1,male,middle-ager,has,no,S
1,3,male,,no,no,C
0,3,male,youth,no,no,S
0,3,female,teenager,has,no,S
1,3,female,teenager,has,no,C
0,3,female,youth,has,no,S
0,2,female,youth,has,no,S
0,3,male,,no,no,C
1,2,female,kid,has,has,C
1,3,female,teenager,no,no,Q
0,3,male,,no,no,S
0,3,male,,has,no,Q
1,3,female,,no,no,Q
0,3,male,,has,no,C
0,3,female,teenager,has,no,S
0,3,male,kid,has,has,S
0,3,male,youth,no,no,S
1,1,female,middle-ager,has,no,C
1,2,female,youth,has,no,S
0,1,male,elder,no,has,C
1,1,male,,no,no,S
1,2,female,youth,no,no,S
0,3,male,youth,no,no,C
1,2,female,kid,has,has,S
0,3,male,teenager,has,has,S
0,3,male,youth,no,no,C
1,1,female,youth,no,no,
0,1,male,middle-ager,has,no,S
0,3,male,kid,has,has,S
0,1,male,,no,no,C
1,3,male,,has,has,C
1,2,female,youth,no,no,S
0,3,male,teenager,no,no,S
1,3,female,teenager,has,has,S
0,3,male,youth,has,no,S
0,2,male,youth,no,no,S
0,3,female,teenager,has,has,S
0,2,male,youth,no,no,S
0,3,male,youth,has,no,C
1,3,male,youth,no,no,S
0,3,male,youth,no,no,S
0,3,male,,no,no,S
0,3,male,,no,no,S
1,2,male,kid,no,has,S
1,3,female,youth,no,no,S
0,3,male,youth,no,no,S
1,3,male,youth,no,no,S
1,3,female,,no,no,Q
0,1,male,youth,no,no,S
1,2,female,teenager,no,no,S
1,3,female,youth,has,no,S
0,3,male,teenager,has,has,S
0,3,male,,no,no,S
1,1,female,youth,has,has,S
0,3,male,youth,no,no,S
0,3,male,youth,no,no,S
0,3,male,teenager,no,no,S
0,1,male,middle-ager,has,no,S
0,3,male,youth,has,has,S
0,3,male,middle-ager,no,no,S
0,3,male,,no,no,S
0,1,male,elder,no,no,C
1,1,male,youth,no,has,C
1,2,female,youth,no,has,S
0,2,male,youth,has,no,S
0,3,female,youth,no,no,S
0,3,male,,no,no,S
0,1,male,youth,no,has,S
0,3,male,youth,no,no,S
0,3,male,youth,has,no,S
0,3,male,youth,no,no,S
1,3,female,youth,no,no,S
1,3,male,,no,no,S
0,3,male,youth,no,no,S
1,3,female,,has,no,Q
0,1,male,middle-ager,no,no,S
0,3,female,teenager,has,no,C
0,3,male,youth,no,no,S
0,3,female,teenager,has,no,S
0,3,female,teenager,no,no,C
0,3,male,youth,no,no,S
0,3,male,elder,no,no,Q
0,2,male,youth,has,no,S
0,1,male,youth,no,has,C
0,3,female,kid,has,has,S
0,2,male,youth,has,no,S
0,3,male,,no,no,S
0,2,male,youth,has,no,C
1,2,female,youth,no,no,S
0,1,male,middle-ager,no,has,S
1,3,male,teenager,has,no,C
0,3,male,,no,no,Q
1,3,male,youth,no,no,S
1,3,female,,has,has,C
0,3,male,middle-ager,no,no,S
0,3,male,youth,no,no,C
0,3,male,teenager,no,no,S
0,3,female,middle-ager,has,no,S
1,2,female,youth,has,no,S
0,2,male,youth,no,no,S
0,2,male,youth,no,no,C
1,1,female,teenager,no,has,S
0,1,male,youth,has,no,S
0,3,male,teenager,no,no,S
0,1,male,youth,no,no,C
0,3,female,,no,has,C
1,3,female,youth,no,no,S
1,3,female,youth,has,no,S
0,3,male,teenager,no,no,Q
0,2,male,teenager,no,no,S
0,2,male,teenager,has,has,S
1,3,male,youth,no,no,S
0,3,female,kid,has,has,S
0,2,male,youth,no,has,S
0,2,male,middle-ager,no,no,S
0,2,male,middle-ager,no,no,S
1,1,female,youth,has,no,S
0,3,male,middle-ager,no,no,S
0,3,male,middle-ager,no,has,S
0,3,male,,no,no,S
0,1,male,middle-ager,no,has,C
1,3,female,teenager,no,no,Q
0,3,male,youth,no,no,S
0,3,male,,no,no,S
0,3,male,,has,has,S
0,3,male,middle-ager,no,has,S
1,2,female,youth,no,no,S
0,3,male,youth,no,no,S
0,3,male,teenager,no,no,S
0,3,male,kid,has,has,S
1,3,male,kid,no,has,S
1,1,female,,no,has,S
0,3,female,middle-ager,has,has,S
0,1,male,,no,no,S
0,3,male,youth,no,no,S
0,1,male,elder,no,no,S
0,3,male,kid,has,has,Q
1,3,female,kid,has,has,S
0,3,male,youth,no,no,S
0,1,male,middle-ager,no,no,C
0,3,male,teenager,has,has,S
0,3,male,,has,has,S
0,1,female,middle-ager,no,no,C
0,2,male,youth,no,no,S
0,3,male,youth,no,no,S
0,3,female,,has,has,S
0,2,male,,no,no,C
0,3,male,kid,has,has,S
1,2,male,kid,has,has,S
1,3,female,kid,no,has,S
0,1,male,,no,no,S
1,3,female,,has,no,Q
1,1,male,middle-ager,no,no,S
0,3,male,youth,has,has,Q
0,3,male,youth,no,no,S
1,2,female,youth,no,no,S
0,2,male,teenager,no,no,S
1,3,female,teenager,has,no,S
1,2,male,kid,has,has,S
1,1,female,middle-ager,no,no,C
1,1,female,middle-ager,no,no,C
0,3,male,,no,no,Q
0,3,male,middle-ager,no,has,S
1,3,female,,no,no,Q
0,2,female,youth,no,no,S
0,3,male,youth,no,no,S
0,3,male,,has,has,S
0,3,male,youth,no,no,S
0,3,male,middle-ager,no,no,C
1,3,male,teenager,no,no,S
0,3,female,kid,no,has,S
0,3,male,youth,has,no,S
1,3,male,youth,no,no,C
1,3,female,teenager,no,no,Q
1,1,male,youth,no,no,C
0,3,male,youth,no,no,S
1,2,female,youth,no,no,S
0,3,male,youth,no,no,S
0,2,male,youth,no,no,S
0,3,male,,has,no,Q
1,1,female,youth,has,no,C
1,3,female,youth,no,no,S
0,2,male,middle-ager,has,no,S
1,1,female,youth,no,no,C
0,2,male,youth,no,no,S
1,3,male,teenager,no,no,S
0,2,male,youth,no,no,S
0,3,male,middle-ager,no,no,S
0,3,male,,no,no,S
1,1,male,youth,has,no,S
0,3,male,youth,no,no,S
1,2,male,teenager,no,no,S
0,3,male,youth,no,no,S
0,2,male,teenager,no,no,S
0,3,female,,has,has,S
1,1,female,youth,has,no,S
0,3,male,youth,no,no,S
0,2,male,middle-ager,no,no,S
1,3,female,kid,has,has,S
0,2,male,youth,no,no,S
0,3,female,,no,no,S
0,2,male,middle-ager,has,no,S
1,2,female,kid,no,has,S
0,2,male,teenager,no,no,S
0,2,male,youth,no,no,S
0,3,female,,has,no,C
1,3,female,,has,no,Q
0,2,male,youth,no,no,S
0,3,male,youth,no,no,S
0,3,male,youth,no,no,C
0,1,male,middle-ager,has,no,Q
0,3,female,youth,no,no,S
1,2,female,youth,no,has,S
1,1,male,youth,has,has,S
0,2,male,middle-ager,has,no,S
0,3,male,,no,no,S
0,3,female,youth,has,has,S
0,1,male,elder,no,no,S
0,3,male,youth,has,no,S
0,3,female,middle-ager,no,has,S
1,3,female,youth,no,has,C
1,1,female,,no,no,C
1,1,female,youth,no,no,S
1,1,female,youth,no,no,C
1,2,female,middle-ager,no,has,S
0,3,male,,no,no,Q
1,3,male,kid,has,has,S
0,1,male,middle-ager,has,has,S
0,1,male,youth,no,no,S
0,3,female,,no,no,Q
0,2,male,youth,no,no,S
0,3,male,teenager,has,has,S
1,3,male,youth,has,no,S
1,1,female,middle-ager,no,has,S
1,1,female,youth,no,no,S
0,1,male,,no,no,S
1,3,male,youth,no,no,S
1,2,female,middle-ager,no,has,S
0,1,male,youth,no,has,C
1,3,female,,no,no,Q
1,1,female,elder,has,no,S
0,3,female,middle-ager,no,no,S
0,2,male,,no,no,S
0,3,male,kid,has,has,Q
1,3,female,youth,has,has,S
0,3,male,elder,no,no,Q
0,3,male,youth,no,no,S
0,3,male,teenager,no,no,S
1,3,male,teenager,no,no,S
0,1,male,,no,no,S
0,3,male,youth,no,no,C
1,3,male,youth,no,no,S
0,3,male,youth,no,no,S
1,2,male,middle-ager,no,no,S
1,3,female,youth,no,no,Q
1,1,female,youth,no,no,S
1,1,female,teenager,has,no,C
0,2,male,youth,no,no,C
0,3,female,youth,no,no,S
0,3,male,youth,no,no,S
0,1,male,,no,no,C
0,3,male,youth,no,no,C
0,1,female,kid,has,has,S
1,1,male,,no,no,S
1,1,female,middle-ager,no,has,C
1,3,female,,no,no,Q
1,3,male,,has,no,Q
0,3,male,teenager,no,no,S
1,2,female,,no,no,Q
0,3,male,,no,no,S
1,1,male,kid,has,has,S
1,1,female,,no,no,C
1,1,female,teenager,has,no,C
0,2,male,youth,has,no,C
1,1,female,youth,no,no,C
1,1,female,youth,no,no,C
1,1,female,teenager,has,has,C
0,2,female,youth,has,has,S
0,3,male,youth,no,no,S
0,2,male,middle-ager,has,has,S
1,3,female,youth,no,no,S
1,2,female,youth,has,no,S
0,2,male,middle-ager,no,no,S
1,1,female,youth,no,has,S
1,1,female,youth,has,has,C
0,3,male,youth,no,no,S
0,3,male,youth,no,no,S
1,2,female,youth,no,no,Q
1,2,female,youth,has,has,S
0,3,male,,has,has,S
1,1,female,youth,no,no,C
0,3,male,elder,no,no,S
1,2,female,youth,no,no,S
1,3,female,youth,has,has,S
1,1,female,teenager,no,has,C
1,3,female,,has,no,Q
0,1,male,middle-ager,no,no,S
0,1,male,youth,no,has,S
0,3,male,teenager,has,no,S
1,1,female,,has,no,S
0,3,male,,no,no,S
0,1,male,youth,has,no,S
1,1,female,middle-ager,no,no,C
1,3,male,middle-ager,no,no,S
0,1,male,middle-ager,no,no,S
1,2,male,kid,has,has,S
1,1,female,youth,has,has,S
0,2,male,youth,no,no,S
0,2,male,youth,no,no,S
0,2,male,youth,no,no,S
1,2,female,youth,no,no,S
1,2,female,youth,no,no,S
1,3,female,,has,no,S
1,3,male,kid,has,has,S
0,3,male,middle-ager,no,no,S
0,3,male,youth,no,no,S
0,1,male,,no,no,S
0,3,male,teenager,has,has,C
0,3,male,youth,has,no,S
0,3,male,,no,no,C
0,3,male,youth,no,no,S
1,1,female,youth,no,has,S
0,2,female,youth,no,no,S
1,3,female,,no,no,Q
1,3,female,,no,no,Q
0,3,male,youth,has,has,S
0,2,male,youth,has,no,C
0,3,female,middle-ager,no,has,C
0,3,male,youth,no,no,S
0,3,male,,has,no,Q
0,3,male,youth,no,no,S
1,1,female,middle-ager,has,no,C
1,3,female,,no,no,C
1,3,female,,no,no,Q
1,1,female,youth,no,no,C
1,1,male,youth,has,no,C
0,3,male,teenager,has,no,S
0,3,male,teenager,no,no,S
0,1,male,youth,no,no,C
0,3,female,kid,has,has,S
1,1,female,,has,no,C
1,3,female,youth,no,no,S
0,1,male,youth,no,has,C
0,3,male,teenager,no,no,C
0,3,male,teenager,no,no,S
1,1,female,middle-ager,no,no,C
1,3,female,kid,no,has,C
0,3,male,youth,no,no,S
1,1,female,youth,has,no,S
0,3,male,,no,no,S
0,2,male,teenager,no,no,S
0,3,male,kid,has,has,S
1,2,female,youth,no,no,S
0,3,male,,no,no,Q
1,2,female,teenager,no,no,C
1,1,male,youth,has,has,S
1,3,male,youth,no,no,S
0,3,male,youth,has,no,S
1,1,female,youth,has,no,C
1,3,female,youth,no,has,S
0,3,male,youth,no,no,S
0,3,female,youth,no,no,S
0,2,male,middle-ager,no,no,S
0,2,male,youth,no,no,S
1,2,female,youth,no,no,S
1,3,male,youth,no,no,S
0,3,male,youth,no,no,S
0,3,female,youth,has,no,S
0,3,male,youth,has,no,S
0,3,female,teenager,no,no,S
0,2,male,youth,has,no,S
0,3,male,middle-ager,no,no,S
1,2,male,kid,has,has,S
0,3,male,youth,no,no,S
0,3,female,,has,has,S
0,3,male,,no,no,S
0,3,male,,no,no,Q
1,1,female,youth,has,no,Q
0,2,male,,no,no,S
1,3,male,middle-ager,no,no,S
0,3,female,,no,no,S
1,2,female,youth,has,has,S
1,2,female,teenager,no,has,S
0,2,male,youth,no,no,S
0,3,female,kid,no,has,S
0,3,male,,no,no,C
0,3,male,youth,no,no,Q
0,3,male,youth,no,no,S
0,3,female,youth,has,has,S
0,3,male,teenager,has,has,S
0,3,male,,no,no,S
1,2,female,youth,has,no,S
1,2,female,teenager,no,no,S
0,3,male,,no,no,Q
1,3,male,youth,no,no,S
1,1,male,youth,no,no,S
1,3,female,,has,no,S
1,2,female,middle-ager,has,no,S
0,3,male,teenager,no,no,S
0,1,male,middle-ager,has,no,S
1,1,female,teenager,has,has,S
0,3,female,youth,has,has,S
1,2,female,youth,has,has,S
0,1,male,elder,has,has,S
0,2,male,youth,no,no,S
1,2,female,middle-ager,has,has,S
0,3,male,teenager,no,no,S
0,3,male,youth,has,no,S
1,2,female,youth,no,no,S
1,3,male,,no,no,S
1,1,male,kid,no,has,S
1,2,female,teenager,no,has,S
1,1,male,youth,no,no,S
1,3,female,kid,has,has,C
1,1,male,middle-ager,no,no,S
0,2,male,youth,has,has,S
0,3,male,,has,no,S
0,1,male,youth,no,no,C
1,1,male,middle-ager,has,no,C
0,3,male,,no,no,S
1,3,male,youth,no,no,C
0,1,male,elder,no,no,S
1,1,female,,has,no,S
1,2,female,middle-ager,no,no,S
0,3,male,,no,no,Q
1,1,male,middle-ager,no,no,S
0,3,male,youth,no,no,S
0,1,male,middle-ager,no,no,S
0,2,male,middle-ager,no,no,S
0,3,male,,no,no,S
0,3,male,youth,no,no,S
0,2,male,,no,no,S
0,1,male,middle-ager,no,no,S
0,3,male,,no,no,Q
1,3,female,kid,has,has,C
0,3,male,,no,no,S
0,3,male,youth,no,no,S
1,2,female,youth,has,has,S
1,2,female,youth,no,no,C
0,3,female,youth,no,no,S
0,1,male,,no,no,S
0,2,male,youth,has,no,S
0,3,male,youth,has,no,S
0,3,male,youth,no,no,S
1,3,female,kid,no,has,S
0,3,male,kid,has,has,S
0,2,male,,no,no,S
0,3,male,middle-ager,no,no,S
1,3,female,elder,no,no,S
1,1,male,youth,has,no,C
0,3,female,,has,has,S
1,1,female,youth,has,no,S
0,1,male,middle-ager,no,no,C
0,3,male,youth,no,no,S
1,3,male,kid,has,has,S
0,3,male,,has,no,S
0,3,male,youth,no,no,S
0,1,male,middle-ager,no,no,S
0,1,male,elder,no,no,C
0,3,male,youth,no,no,S
0,3,male,,no,no,C
1,1,female,middle-ager,has,no,C
0,3,male,,no,no,S
0,1,female,youth,has,has,S
0,3,male,youth,no,no,S
0,3,male,teenager,no,no,S
0,3,female,youth,no,no,Q
0,3,female,,no,no,Q
0,3,female,youth,no,no,S
1,1,female,teenager,no,no,S
0,1,male,teenager,has,no,C
1,2,female,youth,no,has,S
1,1,male,,no,no,S
0,3,male,youth,no,no,S
1,3,male,youth,no,no,S
1,3,male,youth,no,no,Q
0,3,male,,no,no,S
1,1,male,youth,no,no,S
1,1,female,middle-ager,has,no,C
0,3,male,youth,no,no,S
0,1,male,middle-ager,no,no,S
1,2,female,youth,no,no,S
0,3,male,,no,no,Q
1,2,female,youth,has,no,S
0,3,male,youth,no,no,S
1,1,female,youth,no,no,S
0,3,male,youth,no,no,S
0,3,male,,no,no,C
1,1,female,middle-ager,no,has,C
0,3,male,,no,no,C
0,3,male,middle-ager,no,no,Q
1,2,female,middle-ager,no,no,S
0,1,male,,no,no,S
0,3,male,youth,no,no,S
0,2,male,youth,has,has,S
1,2,female,kid,has,has,S
0,3,male,,no,no,C
0,3,male,teenager,has,has,C
1,3,female,,no,has,C
0,3,female,youth,no,no,S
1,2,female,kid,no,has,S
0,1,male,middle-ager,no,no,S
1,1,female,youth,no,no,C
0,3,male,,no,no,S
1,1,female,youth,no,has,C
1,1,female,youth,no,has,S
0,3,female,kid,has,has,S
0,3,female,teenager,has,has,S
1,2,male,youth,has,no,S
0,1,male,middle-ager,has,no,C
0,1,male,elder,no,no,S
1,2,female,teenager,has,no,S
1,2,male,,no,no,C
0,3,male,youth,has,has,S
1,2,male,kid,has,has,S
1,1,male,teenager,no,has,C
0,2,male,youth,no,no,S
0,3,male,,no,no,Q
1,3,male,youth,no,no,C
1,3,female,youth,no,no,S
0,1,male,elder,no,no,S
1,1,female,middle-ager,has,no,C
0,1,male,,no,no,C
1,1,female,youth,has,has,S
1,3,female,youth,has,no,S
0,3,male,,no,no,Q
0,3,male,youth,no,no,S
0,2,male,youth,no,no,S
0,3,male,,no,no,S
0,3,female,,no,no,S
0,3,male,youth,has,no,S
0,3,male,teenager,no,no,S
0,3,female,youth,no,has,S
0,3,male,,no,no,C
1,3,male,youth,no,no,S
1,2,male,elder,no,no,S
1,1,female,middle-ager,has,no,S
1,1,male,youth,no,no,S
1,3,female,,no,no,Q
0,3,male,teenager,no,no,S
0,3,male,teenager,no,no,S
1,2,female,youth,no,no,S
1,1,female,youth,has,no,S
0,3,female,,has,no,C
1,3,male,youth,no,no,S
1,2,female,youth,has,has,S
1,1,female,youth,has,has,C
0,2,male,middle-ager,no,no,S
0,1,male,youth,no,no,C
0,3,male,,no,no,C
1,1,female,teenager,no,has,S
0,2,male,middle-ager,no,no,S
1,1,male,middle-ager,has,has,C
0,3,male,youth,no,no,S
0,3,male,,no,no,S
0,3,male,youth,no,no,S
1,1,female,middle-ager,has,no,C
0,3,male,middle-ager,no,no,S
0,3,female,,no,has,Q
0,2,male,youth,has,no,S
0,3,male,youth,has,has,S
1,2,female,,no,no,S
0,3,male,middle-ager,no,no,S
0,3,male,,no,no,C
1,1,male,middle-ager,has,no,C
1,2,female,youth,has,has,S
0,3,male,,no,no,S
0,1,male,,no,no,S
0,3,male,middle-ager,no,no,S
1,1,male,youth,no,no,C
0,3,male,youth,has,no,S
0,3,male,youth,no,no,S
1,1,male,youth,no,no,S
1,2,female,youth,has,has,C
1,1,female,youth,no,no,S
0,3,female,youth,has,has,S
0,3,male,,no,no,S
1,3,female,,has,no,Q
0,3,male,,no,no,Q
0,3,male,youth,no,no,S
1,2,female,youth,has,has,S
0,3,male,youth,has,has,S
0,3,female,youth,has,no,S
1,2,female,kid,has,has,S
0,2,male,youth,no,no,S
0,3,male,youth,has,no,C
1,1,male,middle-ager,has,no,S
1,3,male,teenager,has,has,C
0,3,male,youth,no,no,S
0,3,male,youth,no,no,S
0,1,male,elder,no,no,S
0,2,male,middle-ager,no,no,Q
1,1,female,youth,no,no,S
0,3,male,youth,no,no,S
0,3,male,,no,no,Q
1,1,male,elder,no,no,S
0,3,male,middle-ager,no,no,S
1,1,male,youth,no,no,C
0,1,male,,no,no,S
0,3,female,kid,has,has,S
1,2,female,youth,no,no,S
0,3,male,youth,no,no,S
0,2,male,youth,has,has,S
0,3,female,middle-ager,no,has,S
0,3,male,,has,no,S
0,3,male,teenager,no,no,S
1,1,female,youth,no,no,C
0,3,female,kid,has,has,S
1,3,male,,no,no,S
1,3,female,kid,has,has,C
1,1,male,middle-ager,has,no,C
0,3,male,teenager,no,no,S
1,1,male,middle-ager,no,no,C
0,3,male,,no,no,S
1,3,female,youth,no,no,S
0,3,male,,no,no,S
1,2,female,teenager,no,has,S
0,3,male,youth,no,no,S
1,3,female,,no,no,Q
0,3,female,teenager,no,no,Q
0,2,male,youth,has,no,S
0,3,male,,no,no,S
0,3,female,youth,has,has,Q
0,2,male,youth,no,no,S
0,1,male,middle-ager,no,has,C
1,1,male,middle-ager,has,no,S
0,3,male,youth,no,no,C
0,1,male,middle-ager,no,no,S
0,3,male,youth,no,no,S
1,3,male,teenager,has,no,S
0,2,male,youth,has,no,S
0,2,male,youth,no,no,S
0,3,male,,no,no,S
0,3,male,middle-ager,no,no,S
1,1,female,,has,no,S
1,2,female,youth,has,has,S
0,1,male,youth,has,no,S
0,2,male,elder,no,no,S
1,2,male,youth,no,no,S
0,2,male,,no,no,S
0,3,male,teenager,no,no,S
0,3,male,youth,no,no,S
1,3,female,teenager,no,no,S
0,3,female,middle-ager,has,has,S
1,1,male,youth,no,has,C
0,3,female,,no,no,Q
1,1,male,youth,no,no,C
0,3,male,teenager,no,no,S
0,3,male,teenager,has,has,S
0,2,male,middle-ager,has,has,S
0,2,male,youth,has,has,C
0,3,male,teenager,has,has,S
0,3,male,teenager,no,no,S
0,3,male,teenager,no,no,S
1,1,female,teenager,no,has,S
1,1,male,youth,has,no,S
1,3,female,kid,no,has,C
1,3,male,,no,no,S
0,3,male,youth,no,no,C
0,1,male,middle-ager,no,no,S
0,2,male,middle-ager,no,no,S
0,3,male,middle-ager,no,no,S
1,3,female,,no,no,Q
0,1,male,middle-ager,has,has,C
0,3,male,middle-ager,no,no,S
1,1,female,teenager,has,no,C
1,1,male,youth,no,no,S
0,3,female,teenager,no,has,C
0,3,male,youth,no,no,Q
0,3,male,youth,has,no,S
0,2,male,youth,no,no,S
1,2,female,middle-ager,no,no,S
1,1,male,middle-ager,no,no,S
1,1,female,youth,no,no,S
1,3,male,,has,has,C
1,1,female,youth,no,no,C
0,1,male,,no,no,S
1,1,male,middle-ager,has,no,S
0,3,male,youth,no,no,S
0,2,male,middle-ager,no,no,S
0,3,male,teenager,no,no,S
1,1,female,youth,no,no,C
1,2,female,youth,no,no,S
0,3,male,,no,no,Q
0,3,male,youth,no,no,S
1,2,female,kid,no,has,S
0,3,male,teenager,has,no,S
0,2,male,youth,no,no,S
0,2,male,middle-ager,no,no,S
1,1,male,youth,has,no,S
0,3,male,teenager,no,no,S
1,2,female,youth,has,no,S
1,3,female,,no,no,Q
0,2,male,youth,has,no,S
0,3,female,youth,has,no,S
1,1,female,youth,no,no,S
0,3,male,teenager,no,no,C
0,2,male,,no,no,S
0,2,male,youth,no,no,S
0,2,male,youth,no,no,S
0,3,male,youth,no,no,S
0,3,female,middle-ager,has,has,S
1,1,male,youth,no,no,C
0,3,male,,no,no,S
0,3,male,,no,no,S
1,1,male,,no,no,S
0,1,male,youth,has,no,S
1,1,female,youth,has,has,C
0,3,male,youth,has,no,S
1,3,male,youth,no,no,S
0,1,male,elder,has,has,S
0,3,male,teenager,has,has,S
1,2,female,youth,no,no,S
0,1,male,teenager,has,no,S
0,3,male,youth,no,no,Q
1,2,female,kid,has,has,S
1,3,male,kid,no,has,S
0,3,male,youth,no,no,S
0,3,male,youth,no,no,S
1,2,female,middle-ager,has,has,S
1,2,male,kid,has,has,S
0,3,male,youth,no,no,S
0,2,male,teenager,no,no,S
0,3,male,youth,no,no,S
1,1,female,youth,no,no,S
0,3,male,,no,no,S
0,3,male,middle-ager,no,no,S
1,3,male,teenager,no,no,C
1,1,female,youth,has,has,S
0,3,male,teenager,no,no,S
1,1,female,middle-ager,has,no,S
0,1,male,,no,no,C
0,3,female,youth,no,no,Q
0,3,male,,has,no,Q
0,3,male,youth,no,no,S
0,3,male,youth,no,no,S
0,3,male,middle-ager,no,no,S
0,2,female,middle-ager,no,no,S
0,3,male,,no,no,C
1,2,female,middle-ager,has,has,S
0,3,male,teenager,no,no,S
0,3,male,,no,no,Q
1,3,female,kid,no,no,S
0,3,male,,no,no,Q
1,1,female,middle-ager,no,has,S
1,3,female,teenager,no,no,C
1,1,female,teenager,has,no,S
0,1,male,youth,no,no,S
0,3,male,,has,has,S
0,3,male,youth,no,no,S
0,3,male,youth,no,no,S
1,3,female,teenager,no,no,S
0,3,male,kid,has,has,Q
1,3,male,kid,has,has,S
0,1,male,middle-ager,no,no,C
0,3,male,,no,no,Q
0,2,male,teenager,no,no,S
0,3,female,,has,has,S
0,1,male,,no,no,C
0,3,male,youth,no,no,S
0,2,male,youth,no,no,S
1,1,female,middle-ager,no,no,S
1,3,female,youth,no,no,S
0,3,male,youth,no,no,C
0,3,female,youth,has,has,S
0,2,male,youth,no,no,S
1,2,female,youth,has,has,S
1,1,male,teenager,has,has,S
1,3,male,kid,no,has,C
1,3,male,youth,no,no,S
0,3,male,youth,no,no,S
0,1,male,youth,no,no,S
0,3,female,teenager,no,no,S
0,2,male,youth,no,no,S
1,1,female,youth,has,no,S
0,3,male,youth,no,no,S
0,3,male,youth,no,no,S
0,2,male,youth,no,no,S
0,3,female,kid,has,has,S
0,3,male,youth,no,no,S
0,1,male,,no,no,S
0,3,female,youth,no,no,S
0,2,male,youth,has,has,C
0,3,male,middle-ager,no,no,S
0,3,male,kid,has,has,S
1,1,female,middle-ager,has,has,S
1,3,male,youth,no,no,S
0,1,male,youth,no,no,S
1,3,female,youth,no,has,S
0,3,male,kid,has,has,S
0,3,male,,no,no,Q
0,3,male,,no,no,S
1,2,male,kid,no,has,C
1,3,male,,no,no,Q
1,1,female,elder,no,no,
1,3,female,teenager,has,no,C
1,2,male,kid,has,has,S
0,3,male,,no,no,C
0,3,male,youth,no,no,S
0,3,male,teenager,no,no,S
1,1,female,youth,has,has,C
0,3,male,youth,no,no,S
0,3,male,,no,no,S
1,3,male,youth,no,no,S
1,1,male,,no,no,C
0,3,male,teenager,no,no,S
0,2,male,teenager,no,no,S
1,1,female,youth,no,no,C
0,3,male,youth,no,no,C
0,3,male,teenager,no,no,S
0,3,male,middle-ager,no,no,S
0,3,male,,has,has,S
0,3,male,youth,no,no,C
0,2,male,youth,no,has,S
1,1,female,,has,no,C
0,3,male,kid,has,has,S
0,3,male,elder,no,no,S
0,3,female,kid,has,has,C
1,1,female,teenager,no,has,S
0,2,female,middle-ager,has,no,S
1,3,female,teenager,no,has,S
1,1,female,middle-ager,has,has,S
1,1,male,middle-ager,no,no,S
1,3,female,youth,no,has,C
0,3,male,,no,no,C
0,3,male,middle-ager,has,no,S
0,2,male,youth,has,no,S
1,1,female,middle-ager,no,no,S
0,3,female,,has,has,S
0,2,male,youth,no,no,S
1,2,female,middle-ager,no,no,S
1,2,female,youth,has,no,C
0,1,male,youth,no,no,S
0,3,male,,no,no,S
1,3,male,kid,has,has,S
0,3,male,youth,no,no,S
1,1,female,middle-ager,has,has,S
0,1,male,youth,no,no,S
0,3,male,middle-ager,no,no,S
1,2,female,youth,has,no,C
1,3,female,teenager,no,no,C
0,3,male,teenager,no,no,S
0,3,male,teenager,no,no,S
0,3,male,,no,no,S
1,1,female,middle-ager,no,has,C
1,2,female,youth,no,has,S
0,3,male,youth,no,no,S
0,3,female,youth,no,no,S
0,2,male,youth,no,no,S
0,3,male,youth,no,no,S
0,3,female,youth,no,has,Q
0,2,male,youth,no,no,S
1,1,female,teenager,no,no,S
0,3,female,,has,has,S
1,1,male,youth,no,no,C
0,3,male,youth,no,no,Q
